id,gid,x,y,v_x,v_y,radius,time
0,0,6.935161,-1.417654,1.302300,-0.045195,0.750000,12.600000
1,0,7.391918,1.251529,1.547293,-0.110230,0.750000,12.600000
0,0,7.063840,-1.421685,1.286785,-0.040314,0.750000,12.700000
1,0,7.530881,1.231835,1.389629,-0.196938,0.750000,12.700000
0,0,7.188572,-1.425778,1.247318,-0.040925,0.750000,12.800000
1,0,7.666545,1.217325,1.356640,-0.145103,0.750000,12.800000
0,0,7.302559,-1.419130,1.139874,0.066473,0.750000,12.900000
1,0,7.805934,1.190635,1.393891,-0.266897,0.750000,12.900000
0,0,7.399039,-1.379627,0.964799,0.395029,0.750000,13.000000
1,0,7.939139,1.162418,1.332048,-0.282166,0.750000,13.000000
0,0,7.493628,-1.347017,0.945896,0.326107,0.750000,13.100000
0,0,7.617042,-1.312510,1.234135,0.345067,0.750000,13.200000
0,0,7.735266,-1.275395,1.182244,0.371151,0.750000,13.300000
0,0,7.820780,-1.259114,0.855139,0.162812,0.750000,13.400000
0,0,7.909427,-1.235333,0.886471,0.237809,0.750000,13.500000
0,0,8.019782,-1.218511,1.103550,0.168217,0.750000,13.600000
